epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2603.69,0.49935,0.33319,0.00105,0.83957,0.81266,0.85284,0.73097,0.54457,0.46066,0.00272,0.000474071,0.000474071,0.000474071
56,2651.51,0.48942,0.33194,0.00105,0.79188,0.82498,0.8412,0.71629,0.54867,0.46914,0.00266,0.000456387,0.000456387,0.000456387
57,2698.45,0.4771,0.3268,0.00098,0.78876,0.82249,0.84088,0.72047,0.54274,0.47102,0.00265,0.000438703,0.000438703,0.000438703
58,2745.67,0.4865,0.33418,0.00111,0.76801,0.83357,0.83666,0.7258,0.53686,0.48354,0.00268,0.000421019,0.000421019,0.000421019
59,2792.55,0.48472,0.32957,0.00106,0.80891,0.81135,0.85168,0.73451,0.52795,0.4655,0.0025,0.000403335,0.000403335,0.000403335
60,2840.57,0.46923,0.30794,0.00097,0.84749,0.77154,0.83363,0.72302,0.52648,0.48331,0.00266,0.000385651,0.000385651,0.000385651
61,2888.59,0.4787,0.31211,0.00101,0.85671,0.77146,0.84511,0.72462,0.52803,0.48132,0.00262,0.000367967,0.000367967,0.000367967
62,2934.85,0.46174,0.29872,0.00098,0.83686,0.81524,0.84712,0.73375,0.53086,0.48315,0.00254,0.000350284,0.000350284,0.000350284
63,2983.07,0.45885,0.3054,0.00104,0.83063,0.78854,0.83776,0.72124,0.52585,0.50488,0.00245,0.0003326,0.0003326,0.0003326
64,3030.32,0.45525,0.3105,0.00099,0.84796,0.78633,0.84707,0.73505,0.53446,0.48042,0.00257,0.000314916,0.000314916,0.000314916
65,3073.21,0.45807,0.29848,0.001,0.84543,0.78374,0.83792,0.7328,0.51743,0.50452,0.00248,0.000297232,0.000297232,0.000297232
66,3116.14,0.46418,0.30989,0.00105,0.81785,0.80538,0.84374,0.73026,0.51286,0.4834,0.00249,0.000279548,0.000279548,0.000279548
67,3159.41,0.46093,0.29474,0.00091,0.81985,0.80776,0.84331,0.72962,0.52554,0.47663,0.0025,0.000261864,0.000261864,0.000261864
68,3204.92,0.44525,0.28101,0.00094,0.82713,0.82476,0.8455,0.73227,0.52721,0.47825,0.00256,0.00024418,0.00024418,0.00024418
69,3253.12,0.44504,0.28387,0.00093,0.80552,0.82374,0.83578,0.72152,0.52225,0.49884,0.00246,0.000226497,0.000226497,0.000226497
70,3299.15,0.4424,0.29061,0.001,0.83574,0.79472,0.84076,0.72865,0.51939,0.47494,0.00243,0.000208813,0.000208813,0.000208813
71,3346.86,0.41453,0.25813,0.00109,0.87825,0.77521,0.83896,0.72801,0.53385,0.51861,0.00257,0.000191129,0.000191129,0.000191129
72,3393.77,0.42335,0.27189,0.00111,0.86296,0.80032,0.86833,0.74373,0.52481,0.46855,0.00242,0.000173445,0.000173445,0.000173445
73,3444.18,0.41392,0.26015,0.00106,0.83941,0.81235,0.8625,0.74159,0.52742,0.46502,0.00249,0.000155761,0.000155761,0.000155761
74,3485.69,0.41792,0.2539,0.00103,0.83603,0.82152,0.8468,0.73059,0.53649,0.48026,0.00258,0.000138077,0.000138077,0.000138077
75,3531.56,0.40636,0.24958,0.001,0.87023,0.78357,0.84074,0.72732,0.52331,0.48489,0.00248,0.000120393,0.000120393,0.000120393
76,3578.52,0.40358,0.24869,0.00098,0.82803,0.81666,0.84563,0.7328,0.52105,0.47976,0.00244,0.000102709,0.000102709,0.000102709
77,3623.4,0.395,0.25212,0.00102,0.85151,0.80054,0.8451,0.7399,0.531,0.46233,0.00261,8.50255e-05,8.50255e-05,8.50255e-05
78,3670.49,0.39365,0.24903,0.00097,0.84236,0.79406,0.83862,0.73276,0.52989,0.47545,0.00258,6.73416e-05,6.73416e-05,6.73416e-05
79,3712.74,0.3995,0.2448,0.00098,0.82662,0.8011,0.83853,0.73471,0.52462,0.47984,0.00254,4.96578e-05,4.96578e-05,4.96578e-05
80,3758.69,0.40295,0.24763,0.001,0.83895,0.80286,0.83725,0.72915,0.52429,0.47422,0.00251,3.19739e-05,3.19739e-05,3.19739e-05
